	official_title	brief_title	drug	phases	nct_id
1424	Molecular Monitoring With Circulating Tumor DNA and Nivolumab Maintenance: A Pilot Study in Diffuse Large B-Cell Lymphoma	Molecular Monitoring With Circulating Tumor DNA and Nivolumab Maintenance	Nivolumab, IV, 240 mg	1	NCT03311958
1425	A Phase II Trial Evaluating Combination of Atezolizumab, With Venetoclax and Obinutuzumab for Relapsed/Refractory Lymphomas	Evaluation of Atezolizumab-Venetoclax-Obinutuzumab Combination in Relapse/Refractory Lymphomas	Atezolizumab | Obinutuzumab | Venetoclax	2	NCT03276468
1426	Prospective, Randomized Trial Comparing Heparin and Minocycline-EDTA Flush for the Prevention of Catheter-Related Infections and Occlusions	Heparin or M-EDTA in Preventing Catheter-Related Infections and Blockages in Patients at High Risk for a Catheter-Related Infection	Heparin | Minocycline-EDTA	2	NCT00378781
1427	A Phase 1 Study Of CMC-544 Administered As A Single Agent In Subjects With B-Cell Non-Hodgkin's Lymphoma	Study Evaluating Safety and Tolerability of Inotuzumab Ozogamicin (CMC-544) in Japanese Patients With B-cell Non-Hodgkin's Lymphoma (NHL)	Inotuzumab Ozogamicin (CMC-544)	1	NCT00717925
1428	Eradication of Helicobacter Pylori in the Management of Stage IE & IIE-1 Primary Low-grade B Cell Lymphoma of Mucosa-associated Lymphoid Tissue Type of The Stomach	Eradication of Helicobacter Pylori in the Management of Stage IE & IIE-1 Primary Low-grade B Cell Lymphoma of MALToma	 	1	NCT00201422
1429	A Phase I Study of Temsirolimus in Combination With Metformin in Advanced Solid Tumours	Metformin and Temsirolimus in Treating Patients With Metastatic or Unresectable Solid Tumor or Lymphoma	metformin hydrochloride | temsirolimus	1	NCT00659568
1430	Phase II Clinical Study on SyB L-0501 in Patients With Indolent B-cell Non-Hodgkin's Lymphoma or Mantle Cell Lymphoma (Multicenter, Open-label Study)	Clinical Study on SyB L-0501 in Patients With Indolent B-cell Non-Hodgkin's Lymphoma or Mantle Cell Lymphoma	bendamustine hydrochloride	2	NCT00612183
1431	Assessment of the Minimal Residual Disease in Diffuse Large B-Cell Lymphomas (DLBCL) From Cell-free Circulating DNA by Next Generation Sequencing (NGS)	Assessment of the Minimal Residual Disease in DLBCL From Cell-free Circulating DNA by NGS	 	2	NCT02339805
1432	Phase I Study of BL22, A Recombinant Immunotoxin for Chronic Lymphocytic Leukemia and CD22+ Lymphomas	BL22 Immunotoxin in Treating Patients With Refractory Chronic Lymphocytic Leukemia, Prolymphocytic Leukemia, or Non-Hodgkin's Lymphoma	BL22 immunotoxin	1	NCT00126646
1433	Phase I Trial of Intravenous Fenretinide (4-HPR) for Patients With Hematologic Malignancies	Fenretinide in Treating Patients With Refractory or Relapsed Hematologic Cancer	fenretinide	1	NCT00104923
1434	A Phase I Study of Romidepsin, Gemcitabine, Dexamethasone and Cisplatin Combination Therapy in the Treatment of Peripheral T-Cell and Diffuse Large B-Cell Lymphoma	Romidepsin, Gemcitabine, Dexamethasone and Cisplatin in the Treatment of Peripheral T-Cell and Diffuse Large B-Cell Lymphoma	Gemcitabine | Dexamethasone | Cisplatin | Romidepsin	1	NCT01846390
1435	Open-Label, Phase 2 Study to Evaluate the Efficacy and Safety of CUDC-907 in Patients With Relapsed/Refractory Diffuse Large B-Cell Lymphoma, Including Patients With MYC Alterations	Study to Evaluate the Efficacy and Safety of CUDC-907 in Patients With RR DLBCL, Including Patients With MYC Alterations	CUDC-907	2	NCT02674750
1436	Phase Ia Study of the Safety, Tolerability and PK of BTK Inhibitor DTRMWXHS-12 in Patients With B-Cell Lymphoma	Safety, Tolerability and PK of BTK Inhibitor DTRMWXHS-12 in Patients With B-Cell Lymphomas	DTRMWXHS-12	1	NCT02891590
1437	Phase II Study of Treatment of Relapsed Agressive Lymphomas	Efficacy , Safety of Treatment R NIMP for Relapsed Aggressive Lymphomas	rituximab | vinorelbine | ifosfamide | Mitoxantrone | Prednisone	2	NCT00842595
1438	Phase I Study of Vandetanib (ZD 6474) and Bevacizumab Combination Therapy Evaluating the VEGF and EGF Signal Transduction Pathways in Adults With Solid Tumors and Lymphomas	Vandetanib and Bevacizumab in Treating Patients With Advanced Solid Tumors or Lymphoma	vandetanib	1	NCT00734890
1439	A Phase III Multicenter Study of Cytomegalovirus Prophylaxis With Valacyclovir for the Prevention of Serious Fungal and Bacterial Infections Among Cytomegalovirus Seronegative Recipients of Cytomegalovirus Seropositive Sx Stem Cell Transplants	Valacyclovir in Preventing Cytomegalovirus Infection in Patients Who Are Undergoing Donor Stem Cell Transplantation	acyclovir | acyclovir sodium | valacyclovir	3	NCT00045292
1440	Third Phase I and Pharmacokinetic Study Of FB-642 Administered Orally To Patients With Advanced Solid Tumors	Carbendazim in Treating Patients With Advanced Solid Tumors or Lymphoma	carbendazim	1	NCT00023816
1441	An Open-Label Phase 1/2 Study of Itacitinib (INCB039110) in Combination With Ibrutinib in Subjects With Relapsed or Refractory Diffuse Large B-Cell Lymphoma	A Study of Itacitinib (INCB039110) in Combination With Ibrutinib in Subjects With Relapsed or Refractory Diffuse Large B-Cell Lymphoma	itacitinib | ibrutinib	1 2	NCT02760485
1442	A Phase II Study of Rituximab, Lenalidomide, and Ibrutinib Combined With Chemotherapy For Patients With High Risk Diffuse Large B-Cell Lymphoma	Smart Start: Study of Rituximab, Lenalidomide, and Ibrutinib Combined With Chemotherapy For Patients With High Risk Diffuse Large B-Cell Lymphoma	Rituximab | Ibrutinib | Lenalidomide | Etoposide | Prednisone | Vincristine | Cyclophosphamide | Doxorubicin	2	NCT02636322
1443	A Phase 1 Multicenter, Open-label, Dose-escalation and Dose-expansion Study to Evaluate the Safety, Tolerability, Pharmacokinetics, Pharmacodynamics, Immunogenicity and Antitumor Activity of MEDI7247 in Patients With Selected Relapsed/Refractory Hematological Malignancies	A Multiple Ascending Dose Study of MEDI7247 in Patients With Selected Relapsed/Refractory Hematological Malignancies	MEDI7247	1	NCT03106428
1444	Mature B-Cell Lymphoma And Leukemia Study III	Mature B-Cell Lymphoma And Leukemia Study III	COPAD | COP, COPD M3, CYM | COP, COPADM8, CYVE	2 3	NCT01046825
1445	A Phase I Pharmacokinetic Study Of Epothilone B Analogue BMS-247550 (NSC 710428D) In Patients With Advanced Malignancies And Varying Levels Of Liver Dysfunction	S0355 Ixabepilone in Treating Patients With Advanced Solid Tumors or Lymphomas and Liver Dysfunction	BMS-247550	1	NCT00049400
1446	A Phase II Study of Single Agent Depsipeptide (NSC 630176) Followed by a Phase I Study of Rituximab/Fludarabine Combination With an Escalating Dose of Depsipeptide in Relapsed or Refractory Low Grade B Cell Lymphomas	FR901228 Alone or Combined With Rituximab and Fludarabine in Treating Patients With Relapsed or Refractory Low-Grade B-Cell Non-Hodgkin's Lymphoma	romidepsin | fludarabine phosphate	2	NCT00079443
1447	Carfilzomib Consolidation Therapy After Autologous Stem Cell Transplantation (ASCT) for Patients With Mantle Cell (MCL), T-cell (TCL), and Diffuse B-Cell Lymphoma (DLBCL)	Carfilzomib Consolidation Therapy After Autologous Stem Cell Transplantation (ASCT) for Mantle Cell Lymphoma (MCL), T-cell Lymphoma (TCL), and Diffuse Large B-Cell Lymphoma (DLBCL)	Carfilzomib | Dexamethasone	1	NCT01926665
1448	Lenalidomide Combined With Vorinostat/Gemcitabine/Busulfan/Melphalan With Autologous Stem-Cell Transplantation in Diffuse Large B-Cell Lymphoma of the ABC Subtype	Lenalidomide Combined With Vorinostat/Gemcitabine/Busulfan/Melphalan With Autologous Stem-Cell Transplantation in Diffuse Large B-Cell Lymphoma of the ABC Subtype	Lenalidomide | Vorinostat | Gemcitabine | Busulfan | Melphalan | Rituximab | Dexamethasone | Caphosol | Glutamine | Pyridoxine | Enoxaparin | Palifermin	1 2	NCT02589145
1449	A Phase I Clinical Study to Investigate the Safety, Tolerability and Pharmacokinetics/ Pharmacodynamics of BTK Inhibitor BGB-3111 in Chinese Patients With B-cell Lymphoma	A Study to Investigate BGB-3111 in Chinese Patients With B-cell Lymphoma	BGB-3111	1	NCT03189524
1450	A Phase 2b Randomized Study to Assess the Efficacy and Safety of the Combination of Ublituximab + TGR-1202 With or Without Bendamustine and TGR-1202 Alone in Patients With Previously Treated Non-Hodgkin's Lymphoma	Study to Assess the Efficacy and Safety of Ublituximab + TGR-1202 With or Without Bendamustine and TGR-1202 Alone in Patients With Previously Treated Non-Hodgkins Lymphoma	TGR-1202 + Ublituximab | TGR-1202 | TGR-1202 + Ublituximab + Bendamustine	2 3	NCT02793583
1451	A Pivotal Study to Determine the Safety and Efficacy of Using B-Cell High Density Microparticles (BCell-HDM) to Deplete B-Cells From Peripheral Blood Stem Cell Collections Without Compromising the Time to Neutrophil and Platelet Engraftment in Patients With Relapsed Low or Intermediate Grade B-Cell Non-Hodgkin's Lymphoma Given Autologous Peripheral Blood Stem Cell Transplants After High-Dose Chemotherapy	Peripheral Stem Cell Transplantation in Treating Patients With Relapsed Low- or Intermediate-Grade Non-Hodgkin's Lymphoma	chemotherapy	2	NCT00006241
1452	A Phase 2, Open-Label, 2-Cohort Study of INCB050465, a PI3Kδ Inhibitor, in Subjects With Relapsed or Refractory Marginal Zone Lymphoma With or Without Prior Exposure to a BTK Inhibitor (CITADEL-204)	A Study of INCB050465 in Subjects With Relapsed or Refractory Marginal Zone Lymphoma (CITADEL-204)	INCB050465	2	NCT03144674
1453	A Phase I Study of Single Agent Tazemetostat in Subjects With Advanced Solid Tumors and B-Cell Lymphomas With Hepatic Dysfunction	Tazemetostat in Treating Patients With Metastatic or Unresectable Solid Tumors or B-Cell Lymphomas With Liver Dysfunction	Tazemetostat	1	NCT03217253
1454	Phase II Study of Combination Vorinostat and Bortezomib in Patients With Relapsed and/or Refractory Non-Hodgkin Lymphoma	Relapsed and/or Refractory Non-Hodgkin Lymphoma Study	Vorinostat in combination with Bortezomib	2	NCT00837174
1455	A Phase II Study of Ibrutinib With R-ICE Chemotherapy for Transplant-eligible Relapsed/Refractory Diffuse Large B-cell Lymphoma Followed by Ibrutinib Maintenance in Patients Not Achieving a Complete Response at Pre-transplant Interim Assessment	RICE-ibrutinib in Relapsed DLBCL	Ibrutinib-RICE	2	NCT02955628
1456	A Pilot Trial of Blinatumomab Consolidation Post Autologous Stem Cell Transplantation in Patients With DLBCL	Blinatumomab Consolidation Post Autologous Stem Cell Transplantation in Patients With Diffuse Large B-Cell Lymphoma (DLBCL)	Blinatumomab | Carmustine | Etoposide | Cytarabine | Melphalan	1	NCT03072771
1457	Obinutuzumab in Marginal Zone Lymphoma (OLYMP-1)	Obinutuzumab in Marginal Zone Lymphoma	Obinutuzumab	2	NCT03322865
1458	Transplantation Using Umbilical Cord And Placental Blood	Umbilical Cord Blood and Placental Blood Transplantation in Treating Patients With Hematologic Cancer or Aplastic Anemia	 	2	NCT00008164
1459	Partially HLA-Matched Irradiated Allogeneic Cellular Therapy After Reduced Intensity Total Body Irradiation	Partially HLA-Matched Irradiated Allogeneic Cellular Therapy After Reduced Intensity Total Body Irradiation	 	1	NCT00996359
1460	Phase II Study Of Rituximab And Short Duration, High Intensity Chemotherapy With G-CSF Support In Previously Untreated Patients With Burkitt Lymphoma/Leukemia	Rituximab, Chemotherapy, and Filgrastim in Treating Patients With Burkitt's Lymphoma or Burkitt's Leukemia	cyclophosphamide | cytarabine | dexamethasone | doxorubicin hydrochloride | etoposide | ifosfamide | leucovorin calcium | methotrexate | prednisone | vincristine sulfate | Allopurinol	2	NCT00039130
1461	Multicenter Study to Evaluate the Combination of Oral Fludarabine, Mitoxantrone Und Rituximab Induction Therapy Und Rituximab Maintenance Therapy in Follicular B-Cell Lymphoma	Combination of Oral Fludarabine, Mitoxantrone Und Rituximab Induction Therapy and Rituximab Maintenance Therapy in Follicular B-Cell Lymphoma	Rituximab	2	NCT01560117
1462	Purine-Analog-Containing Non-Myeloablative Allogeneic Stem Cell Transplantation for Treatment of Hematologic Malignancies and Severe Aplastic Anemia	Non-Ablative Allo HSCT For Hematologic Malignancies or SAA	cyclophosphamide | fludarabine phosphate	2	NCT00006379
1463	Phase II Trial of Rituximab-CHOP (R-CHOP) Plus GM-CSF for Previously Untreated Diffuse Large Cell Lymphoma in the Elderly	R-CHOP + GM-CSF for Previously Untreated LCL in Elderly	R-CHOP+GM-CSF	2	NCT00582725
1464	Epidemiological Registry Describing Treatment Reality and Therapy Modalities of Patients With Malignant Lymphatic Systemic Diseases (Non-Hodgkin`s Lymphoma, Chronic Lymphocytic Leukemia and Multiple Myeloma) Requiring Therapy.	Tumor Registry of Lymphatic Neoplasia	 		NCT00889798
1465	Dapsone Induced Methemoglobinemia in Pediatric Hematologic Malignancy and Aplastic Anemia	Methemoglobinemia in Young Patients With Hematologic Cancer or Aplastic Anemia Treated With Dapsone	chemotherapy | dapsone		NCT00993694
1466	A Phase 1b Study to Investigate the Safety, Tolerability, and Pharmacokinetics of Idelalisib in Japanese Subjects With Relapsed or Refractory Indolent B-Cell Non-Hodgkin Lymphomas or Chronic Lymphocytic Leukemia	Safety, Tolerability, and Pharmacokinetics of Idelalisib in Japanese Adults With Relapsed or Refractory Indolent B-Cell Non-Hodgkin Lymphomas or Chronic Lymphocytic Leukemia	Idelalisib	1	NCT02242045
1467	Phase 1/2 Open-Label, Multiple-Dose, Dose-Escalation Study to Evaluate the Safety and Tolerability of SNS01-T Administered by Intravenous Infusion in Patients With Relapsed or Refractory B Cell Malignancies	Safety and Tolerability Study of SNS01-T in Relapsed or Refractory B Cell Malignancies (Multiple Myeloma, B Cell Lymphoma, or Plasma Cell Leukemia (PCL)	 	1 2	NCT01435720
1468	A Phase Ib/II Study of OBINUTUZUMAB Combined to LENALIDOMIDE for the Treatment of Follicular and Relapsed/Refractory Aggressive (DLBCL and MCL) B-cell Lymphoma	Study of OBINUTUZUMAB Combined to LENALIDOMIDE for the Treatment of Relapsed/Refractory Follicular and Aggressive B-cell Lymphoma	Lenalidomide and GA101	1 2	NCT01582776
1469	Double Blind Randomized Phase III Study of Lenalidomide Maintenance Versus Placebo in Responding Elderly Patients With DLBCL and Treated With R-CHOP in First Line	Study of Lenalidomide Maintenance Versus Placebo in Responding Elderly Patients With DLBCL and Treated With R-CHOP	Lenalidomide | Placebo	3	NCT01122472
1470	A Phase III, Multicenter, Randomized, Double-Blind, Placebo-Controlled Trial Comparing the Efficacy and Safety of Polatuzumab Vedotin in Combination With Rituximab and CHP (R-CHP) Versus Rituximab and CHOP (R-CHOP) in Previously Untreated Patients With Diffuse Large B-Cell Lymphoma	A Study Comparing the Efficacy and Safety of Polatuzumab Vedotin With Rituximab-Cyclophosphamide, Doxorubicin, and Prednisone (R-CHP) Versus Rituximab-Cyclophosphamide, Doxorubicin, Vincristine, and Prednisone (R-CHOP) in Participants With Diffuse Large B-Cell Lymphoma	Polatuzumab Vedotin | Rituximab | Cyclophosphamide | Doxorubicin | Vincristine | Vincristine Placebo | Prednisone | Polatuzumab vedotin Placebo	3	NCT03274492
1471	Rituximab, Cyclophosphamide, Vincristine, and Prednisone in Combination With Doxorubicin (R-CHOP) Versus in Combination With Pegylated-liposomal Doxorubicin (R-CDOP) as First-line Treatment for Elderly Patients With Diffuse Large-B-cell Lymphoma: a Randomised, Multicentre, Non-inferiority Study	R-CHOP Versus R-CDOP as First-line Treatment for Elderly Patients With Diffuse Large-B-cell Lymphoma	Pegylated liposomal doxorubicin | Doxorubicin | Rituximab | Cyclophophamide | Vincristine | Prednisone	3	NCT02428751
1472	Reduced Intensity Allogeneic Stem Cell Transplantation With Matched Unrelated Donors for Patients With Hematologic Malignancies	Donor Stem Cell Transplant in Treating Patients With High-Risk Hematologic Cancer	busulfan | cyclophosphamide | fludarabine phosphate | methotrexate | tacrolimus	2	NCT00818961
1473	A Phase I Dose Escalation to Maximally Tolerated Dose Trial of 5-Azacytidine (5 AC, NSC 102816) in Combination With Sodium Phenylbutyrate (PB, NSC 657802) in Patients With Refractory Solid Tumors	Azacitidine Plus Phenylbutyrate in Treating Patients With Advanced or Metastatic Solid Tumors That Have Not Responded to Previous Treatment	azacitidine | sodium phenylbutyrate	1	NCT00005639
1474	A Randomized, Double-blind, Placebo-controlled, Multi-center Phase III Study of RAD001 Adjuvant Therapy in Poor Risk Patients With Diffuse Large B-Cell Lymphoma (DLBCL) of RAD001 Versus Matching Placebo After Patients Have Achieved Complete Response With First-line Rituximab-chemotherapy	Phase III Study of RAD001 Adjuvant Therapy in Poor Risk Patients With Diffuse Large B-Cell Lymphoma (DLBCL) of RAD001 Versus Matching Placebo After Patients Have Achieved Complete Response With First-line Rituximab-chemotherapy	Everolimus | Everolimus Placebo	3	NCT00790036
1475	A Randomized Phase III Trial Comparing the Combination of Fludarabine, BBR 2778 (Pixantrone) and Rituximab (FP-R) With the Combination of Fludarabine and Rituximab (F-R) in the Treatment of Patients With Relapsed or Refractory Indolent Non-Hodgkin's Lymphoma	Fludarabine and Rituximab With or Without Pixantrone in Treating Patients With Relapsed or Refractory Indolent Non-Hodgkin Lymphoma	fludarabine phosphate | pixantrone dimaleate	3	NCT00551239
1476	Modular Phase II Study to Link Targeted Therapy to Patients With Pathway Activated Tumors: Module - 7 Ceritinib (LDK378) for Patients Whose Tumors Have Aberrations in ALK or ROS1	Ceritinib (LDK378) for Patients Whose Tumors Have Aberrations in ALK or ROS1 (SIGNATURE)	Ceritinib (LDK378)	2	NCT02186821
1477	Umbilical Cord Blood Transplantation Using a Myeloablative Preparative Regimen for the Treatment of Hematological Diseases	Umbilical Cord Blood Transplantation Using a Myeloablative Preparative Regimen for Hematological Diseases	Fludarabine | Cyclophosphamide | Cyclosporine A | Mycophenylate mofetil	2	NCT01962636
1478	Phase I/II Study of Pembrolizumab in Patients With Relapsed or Refractory Extranodal NK/T- Cell Lymphoma (ENKTL), Nasal Type and EBV-associated Diffuse Large B Cell Lymphomas (EBV-DLBCL)	Phase I/II Study of Pembrolizumab in Patients With Relapsed or Refractory Extranodal NK/T- Cell Lymphoma (ENKTL), Nasal Type and EBV-associated Diffuse Large B Cell Lymphomas (EBV-DLBCL)	Pembrolizumab	1 2	NCT03586024
1479	Phase II Study of Evaluation of Fractionated Radio-immunotherapy With 90Y-DOTA-hLL2 as a Consolidation Therapy After First Line of Chemotherapy in Patients Older Than 60 With Disseminated Diffuse Large B-cell Lymphoma	Study of 90Y-DOTA-hLL2 as a Consolidation Therapy After R-CHOP in Patients With Diffuse Large B-cell Lymphoma	90Y-DOTA-hLL2	2	NCT00906841
1480	Phase II Study of FavId (Tumor-Specific Idiotype-KLH) and Soluble GM-CSF Immunotherapy in Patients With Stable or Progressive Grade 1 and 2 Follicular B-Cell Lymphomas	Idiotype Vaccine for Low-Grade Non-Hodgkin's Lymphoma	 	2	NCT00036426
1481	Total Body Irradiation, Etoposide, Cyclophosphamide and Autologous Peripheral Blood Stem Cell Transplantation Followed by Randomization to Therapy With Interleukin-2 Versus Observation for Patients With Non-Hodgkin's Lymphoma	Interleukin-2 or Observation Following Radiation Therapy, Combination Chemotherapy, and Peripheral Stem Cell Transplantation in Treating Patients With Recurrent Non-Hodgkin's Lymphoma	cyclophosphamide | etoposide	3	NCT00002649
1482	Phase I Study of Cellular Immunotherapy Using Memory-Enriched T Cells Lentivirally Transduced to Express a CD19-Specific, Hinge-Optimized, CD28-Costimulatory Chimeric Receptor and a Truncated EGFR Following Peripheral Blood Stem Cell Transplantation for Patients With High-Risk Intermediate or High Grade B-Lineage Non-Hodgkin Lymphoma	Memory Enriched T Cells Following Stem Cell Transplant in Treating Patients With Recurrent B-Cell Non-Hodgkin Lymphoma	 	1	NCT02051257
1483	Non-Myeloablative Allogeneic Hematopoietic Cell Transplantation For Patients With Disease Relapse Or Myelodysplasia After Prior Autologous Transplantation	Donor Stem Cell Transplant in Treating Patients With Relapsed Hematologic Cancer	busulfan | fludarabine phosphate | methotrexate | mycophenolate mofetil | tacrolimus | allopurinol	2	NCT00053196
1484	A Randomized, Placebo-Controlled, Blinded Study Of Acupuncture Therapy In Mucositis-Related Pain In Patients Undergoing Hematopoietic Stem Cell Transplantation	Acupuncture in Treating Mucositis-Related Pain Caused by Chemotherapy in Patients Undergoing Stem Cell Transplantation	 	2	NCT00060021
1485	Detection of Donor-Derived DNA in Semen Samples Among Recipients of Allogeneic Hematopoietic Stem-Cell Transplants	Presence of Donor-Derived DNA in Semen Samples From Cancer Survivors Who Underwent Donor Stem Cell Transplant	 		NCT01077440
1486	Hepatitis B Virus Reactivation in Asian Patients Treated With Rituximab-containing Treatment	Factors Influencing Hepatitis B Virus Reactivation in Lymphoma Patients Treated With Rituximab	 		NCT01311232
1487	An Open Label Phase 2 Study of Denintuzumab Mafodotin (SGN-CD19A) in Combination With RCHOP (Rituximab, Cyclophosphamide, Doxorubicin, Vincristine, and Prednisone) or RCHP (Rituximab, Cyclophosphamide, Doxorubicin, and Prednisone) Compared With RCHOP Alone as Frontline Therapy in Patients With Diffuse Large B-cell Lymphoma (DLBCL) or Follicular Lymphoma (FL) Grade 3b	Denintuzumab Mafodotin (SGN-CD19A) Combined With RCHOP or RCHP Versus RCHOP Alone in Diffuse Large B-Cell Lymphoma or Follicular Lymphoma	denintuzumab mafodotin | rituximab | cyclophosphamide | doxorubicin | vincristine | prednisone	2	NCT02855359
1488	A Phase 1 Open-Label, Safety, Pharmacokinetic and Preliminary Efficacy Study of STRO-001, an Anti-CD74 Antibody Drug Conjugate, in Patients With Advanced B-Cell Malignancies	Study of STRO-001, an Anti-CD74 Antibody Drug Conjugate, in Patients With Advanced B-Cell Malignancies	STRO-001	1	NCT03424603
1489	Dose-Intense Yttrium-90 Ibritumomab Tiuxetan (Zevalin)-Containing Non-Myeloablative Conditioning for Allogeneic Stem Cell Transplantation in B-cell Malignancies	Zevalin-Containing Nonmyeloablative Conditioning for Stem Cell Transplantation (SCT)	Rituximab | 111In Ibritumomab | 90Y IbritumomabTiuxetan | Fludarabine | Bendamustine | Thymoglobulin | Tacrolimus | Methotrexate | Mycophenolate | G-CSF	2	NCT01490723
1490	Personalized Monitoring of Intravenous Busulfan Dosing for Patients With Lymphoma Undergoing Autologous Stem Cell Transplantation.	Dose Monitoring of Busulfan and Combination Chemotherapy in Hodgkin or Non-Hodgkin Lymphoma Undergoing Stem Cell Transplant	busulfan | etoposide | cyclophosphamide	1	NCT01959477
1491	Phase I Clinical and Pharmacological Study of Suberoylanilide Hydroxamic Acid- SAHA (MSK390) in Patients With Advanced Solid Tumors	Suberoylanilide Hydroxamic Acid in Treating Patients With Advanced Solid Tumors That Have Not Responded to Previous Therapy	vorinostat	1	NCT00005634
1492	Open Label, Dose Escalation Trial of Oral PXD101 in Patients With Advanced Solid Tumors	Study of Oral PXD101 in Patients With Advanced Solid Tumors or Lymphoma	oral belinostat	1	NCT00413075
1493	The Use Of Peripheral Blood Stem Cells For Allogeneic Transplantation	Blood Stem Cell Transplant in Treating Patients With Hematologic Cancer	 		NCT00008216
1494	A Phase 1/2, Multi-Center, Open-Label, Dose Finding Study to Assess the Safety, Tolerability, Pharmacokinetics and Preliminary Efficacy of the mTOR Kinase Inhibitor CC-223 Administered Orally to Subjects With Advanced Solid Tumors, Non-Hodgkin Lymphoma, or Multiple Myeloma	Study to Assess Safety, Pharmacokinetics, and Efficacy of Oral CC-223 for Patients With Advanced Solid Tumors, Non-Hodgkin Lymphoma or Multiple Myeloma	CC-223	1 2	NCT01177397
1495	A Phase I Clinical Trial to Investigate the Correlation Between UGT1A1 Genotype and Irinotecan (CPT-11) Pharmacokinetics and Toxicity in Cancer Patients	Genetic Testing Plus Irinotecan in Treating Patients With Solid Tumors or Lymphoma	irinotecan hydrochloride	1	NCT00003970
1496	Leukapheresis for CAR-Therapy Manufacturing	Leukapheresis for CAR-Therapy Manufacturing	 		NCT03226704
1497	Multi-Center, Prospective, Randomized, Double-Blinded, Controlled Clinical Trial to Evaluate the Safety and Effectiveness of an Antimicrobial Catheter Lock Solution in Maintaining Catheter Patency and Preventing Catheter Related Blood Stream Infections (CRBSI)	Antimicrobial Solution or Saline Solution in Maintaining Catheter Patency and Preventing Catheter-Related Blood Infections in Patients With Malignancies	Edetate Calcium Disodium | Ethanol | Trimethoprim-sulfamethoxazole	1 2	NCT01101412
1498	18F-FDG PET Scan and MRI Diffusion : Correlation Study of the Evaluation of the Early Therapeutic Response of Diffuse Large B-cell Lymphoma	18F-FDG PET Scan and MRI Diffusion.Evaluation of the Early Therapeutic Response of Diffuse Large B-cell Lymphoma	 	1 2	NCT03121456
1499	Phase II Study of Intensive Induction (R-MegaCHOP/ESHAP)Followed By Intensive Consolidation (BEAM) In Treatment Of High-Risk Aggressive B-Cell Lymphomas	R-MegaCHOP-ESHAP-BEAM in Patients With High-Risk Aggressive B-Cell Lymphomas	 	2	NCT00558220
1500	A Phase I/II Trial of PD-1 Knockout EBV-CTLs for Advanced Stage EBV Associated Malignancies	PD-1 Knockout EBV-CTLs for Advanced Stage Epstein-Barr Virus (EBV) Associated Malignancies	Fludarabine | Cyclophosphamide | Interleukin-2	1 2	NCT03044743
1501	Early Response Assessment in Patients With Diffuse Large B-cell Lymphoma Using 18-fluoro-2-deoxyglycose Positron Emission Tomography (FDG-PET)	Early Response Assessment in Diffuse Large B-Cell Lymphoma (DLCL) Patients by 18-fluoro-2-deoxyglycose Positron Emission Tomography (FDG-PET)	 		NCT00754117
1502	Targeted Single Nucleotide Polymorphisms (SNPs) to Classify Subtypes of Chronic Graft-Versus-Host Disease (cGVHD) After Allogeneic Transplant.	Chronic Graft-Versus-Host Disease in Patients Who Have Undergone Donor Stem Cell Transplant	 		NCT00957736
1503	A Phase 1 Study of R-(-)-Gossypol (Ascenta's AT-101) in Combination With Paclitaxel and Carboplatin in Solid Tumors	Gossypol, Paclitaxel, and Carboplatin in Treating Patients With Solid Tumors That Are Metastatic or Cannot Be Removed by Surgery	R-(-)-gossypol acetic acid | paclitaxel | carboplatin	1	NCT00891072
1504	Phase I and Pharmacokinetic Study of UCN-01 and Fludarabine in Relapsed or Refractory Low-Grade Lymphoid Malignancies	UCN-01 and Fludarabine in Treating Patients With Recurrent or Refractory Lymphoma or Leukemia	7-hydroxystaurosporine | fludarabine phosphate	1	NCT00019838
1505	Phase 1 Study of Ibrutinib and Immuno-Chemotherapy Using Dose-Adjusted-Temozolomide, Etoposide, Doxil, Dexamethasone, Ibrutinib,Rituximab (DA-TEDDI-R) in Primary CNS Lymphoma	Phase 1 Study of Ibrutinib and Immuno-Chemotherapy Using Dose-Adjusted-Temozolomide, Etoposide, Doxil, Dexamethasone, Ibrutinib,Rituximab (DA-TEDDI-R) in Primary CNS Lymphoma	Micafungin | Voriconazole | TEDDI | Cytarabine | TEDD | Ibrutinib	1	NCT02203526
1506	A Phase 1b/2 Fixed-dose Study of Bruton's Tyrosine Kinase (Btk) Inhibitor, PCI-32765, in Chronic Lymphocytic Leukemia	Safety of PCI-32765 in Chronic Lymphocytic Leukemia	PCI-32765	1 2	NCT01105247
1507	A Phase I Dose Escalation Study of the Safety, Tolerability, Pharmacokinetics, and Pharmacodynamics of SCT400, a Recombinant Chimeric Anti-CD20 Monoclonal Antibody，in Patients With CD20+ B-cell Non Hodgkin's Lymphoma.	Safety, Pharmacokinetics and Pharmacodynamics of Recombinant Chimeric Anti-CD20 Monoclonal Antibody in Patients With B-cell Non-Hodgkin's Lymphoma.	 	1	NCT02206308
1508	NON-T-CELL DEPLETED HLA-HAPLOIDENTICAL FAMILIAL DONOR HEMATOPOIETIC CELL TRANSPLANTATION AFTER REDUCED INTENSITY CONDITIONING	Donor Stem Cell Transplant After Conditioning Therapy in Treating Patients With Hematologic Cancer, Recurrent or Metastatic Solid Tumor, or Other Disease	busulfan | cyclosporine | fludarabine phosphate | methotrexate | methylprednisolone	1	NCT00521430
